Film,Year (Ceremony),Awards,Nominations,Best Picture
Wings,1927 (1st),2,2,True
7th Heaven,1927 (1st),3,5,False
Sunrise: A Song of Two Humans,1927 (1st),3,4,False
The Last Command,1928 (1st),1,2,False
Street Angel,1928 (1st) / (2nd),1,3,False
Tempest,1928 (1st),1,1,False
The Dove,1927 (1st),1,1,False
The Way of All Flesh,1927 (1st),1,1,False
Two Arabian Knights,1927 (1st),1,1,False
Underworld,1927 (1st),1,1,False
Sadie Thompson,1928 (1st),0,2,False
The Crowd,1928 (1st),0,2,False
A Ship Comes In,1928 (1st),0,1,False
Chang: A Drama of the Wilderness,1927 (1st),0,1,False
Glorious Betsy,1928 (1st),0,1,False
Sorrell and Son,1927 (1st),0,1,False
Speedy,1928 (1st),0,1,False
The Devil Dancer,1927 (1st),0,1,False
The Jazz Singer,1927 (1st),0 (1),1,False
The Magic Flame,1927 (1st),0,1,False
The Noose,1928 (1st),0,1,False
The Patent Leather Kid,1927 (1st),0,1,False
The Private Life of Helen of Troy,1927 (1st),0,1,False
The Racket,1928 (1st),0,1,False
The Circus,1928 (1st),0 (1),0,False
The Broadway Melody,1929 (2nd),1,3,True
In Old Arizona,1928 (2nd),1,5,False
The Patriot,1928 (2nd),1,5,False
The Divine Lady,1928 (2nd),1,3,False
Coquette,1929 (2nd),1,1,False
The Bridge of San Luis Rey,1929 (2nd),1,1,False
White Shadows in the South Seas,1928 (2nd),1,1,False
Alibi,1929 (2nd),0,3,False
Madame X,1929 (2nd),0,2,False
Our Dancing Daughters,1928 (2nd),0,2,False
The Valiant,1929 (2nd),0,2,False
4 Devils,1928 (2nd),0,1,False
A Woman of Affairs,1928 (2nd),0,1,False
Drag,1929 (2nd),0,1,False
Dynamite,1929 (2nd),0,1,False
Sal of Singapore,1928 (2nd),0,1,False
Skyscraper,1928 (2nd),0,1,False
The Awakening,1928 (2nd),0,1,False
The Barker,1928 (2nd),0,1,False
The Cop,1928 (2nd),0,1,False
The Hollywood Revue of 1929,1929 (2nd),0,1,False
The Last of Mrs. Cheyney,1929 (2nd),0,1,False
The Leatherneck,1929 (2nd),0,1,False
The Letter,1929 (2nd),0,1,False
Thunderbolt,1929 (2nd),0,1,False
Weary River,1929 (2nd),0,1,False
Wonder of Women,1929 (2nd),0,1,False
All Quiet on the Western Front,1930 (3rd),2,4,True
The Big House,1930 (3rd),2,4,False
The Divorcee,1930 (3rd),1,4,False
Disraeli,1929 (3rd),1,3,False
King of Jazz,1930 (3rd),1,1,False
With Byrd at the South Pole,1930 (3rd),1,1,False
The Love Parade,1929 (3rd),0,6,False
Anna Christie,1930 (3rd),0,3,False
Bulldog Drummond,1929 (3rd),0,2,False
Romance,1930 (3rd),0,2,False
Condemned,1929 (3rd),0,1,False
Hallelujah,1929 (3rd),0,1,False
Hell's Angels,1930 (3rd),0,1,False
Raffles,1930 (3rd),0,1,False
Sally,1929 (3rd),0,1,False
Sarah and Son,1930 (3rd),0,1,False
Song of the Flame,1930 (3rd),0,1,False
The Big Pond,1930 (3rd),0,1,False
The Case of Sergeant Grischa,1930 (3rd),0,1,False
The Devil's Holiday,1930 (3rd),0,1,False
The Green Goddess,1930 (3rd),0,1,False
The Rogue Song,1930 (3rd),0,1,False
The Trespasser,1929 (3rd),0,1,False
The Vagabond King,1930 (3rd),0,1,False
Their Own Desire,1929 (3rd),0,1,False
Cimarron,1931 (4th),3,7,True
Skippy,1931 (4th),1,4,False
A Free Soul,1931 (4th),1,3,False
Min and Bill,1930 (4th),1,1,False
Tabu: A Story of the South Seas,1931 (4th),1,1,False
The Dawn Patrol,1930 (4th),1,1,False
Morocco,1930 (4th),0,4,False
The Front Page,1931 (4th),0,3,False
Holiday,1930 (4th),0,2,False
Svengali,1931 (4th),0,2,False
East Lynne,1931 (4th),0,1,False
Just Imagine,1930 (4th),0,1,False
Laughter,1930 (4th),0,1,False
Little Caesar,1931 (4th),0,1,False
Smart Money,1931 (4th),0,1,False
The Criminal Code,1930 (4th),0,1,False
The Doorway to Hell,1930 (4th),0,1,False
The Public Enemy,1931 (4th),0,1,False
The Right to Love,1930 (4th),0,1,False
The Royal Family of Broadway,1930 (4th),0,1,False
Trader Horn,1931 (4th),0,1,False
Whoopee!,1930 (4th),0,1,False
Grand Hotel,1932 (5th),1,1,True
The Champ,1931 (5th),2,4,False
Bad Girl,1931 (5th),2,3,False
Dr. Jekyll and Mr. Hyde,1931 (5th),1,3,False
Shanghai Express,1932 (5th),1,3,False
Flowers and Trees,1932 (5th),1,1,False
The Music Box,1932 (5th),1,1,False
The Sin of Madelon Claudet,1931 (5th),1,1,False
Transatlantic,1931 (5th),1,1,False
Wrestling Swordfish,1931 (5th),1,1,False
Arrowsmith,1931 (5th),0,4,False
The Guardsman,1931 (5th),0,2,False
À Nous la Liberté,1931 (5th),0,1,False
Emma,1932 (5th),0,1,False
Five Star Final,1931 (5th),0,1,False
It's Got Me Again!,1932 (5th),0,1,False
Lady and Gent,1932 (5th),0,1,False
Mickey's Orphans,1931 (5th),0,1,False
One Hour with You,1932 (5th),0,1,False
Scratch-As-Catch-Can,1932 (5th),0,1,False
Screen Souvenirs,1932 (5th),0,1,False
Swing High,1932 (5th),0,1,False
The Loud Mouth,1932 (5th),0,1,False
The Smiling Lieutenant,1931 (5th),0,1,False
The Star Witness,1931 (5th),0,1,False
What Price Hollywood?,1932 (5th),0,1,False
Cavalcade,1933 (6th),3,4,True
A Farewell to Arms,1932 (6th),2,4,False
Little Women,1933 (6th),1,3,False
The Private Life of Henry VIII,1933 (6th),1,2,False
Krakatoa,1933 (6th),1,1,False
Morning Glory,1933 (6th),1,1,False
One Way Passage,1932 (6th),1,1,False
So This Is Harris!,1933 (6th),1,1,False
Three Little Pigs,1933 (6th),1,1,False
Lady for a Day,1933 (6th),0,4,False
I Am a Fugitive from a Chain Gang,1932 (6th),0,3,False
42nd Street,1933 (6th),0,2,False
State Fair,1933 (6th),0,2,False
A Preferred List,1933 (6th),0,1,False
Berkeley Square,1933 (6th),0,1,False
Building a Building,1933 (6th),0,1,False
Gold Diggers of 1933,1933 (6th),0,1,False
Menu,1933 (6th),0,1,False
Mister Mugg,1933 (6th),0,1,False
Rasputin and the Empress,1932 (6th),0,1,False
Reunion in Vienna,1933 (6th),0,1,False
She Done Him Wrong,1933 (6th),0,1,False
Sign of the Cross,1933 (6th),0,1,False
Smilin' Through,1932 (6th),0,1,False
The Merry Old Soul,1933 (6th),0,1,False
The Prizefighter and the Lady,1933 (6th),0,1,False
The Sea,1933 (6th),0,1,False
When Ladies Meet,1933 (6th),0,1,False
It Happened One Night,1934 (7th),5,5,True
One Night of Love,1934 (7th),2,6,False
Cleopatra,1934 (7th),1,5,False
The Gay Divorcee,1934 (7th),1,5,False
Viva Villa!,1934 (7th),1,4,False
City of Wax,1934 (7th),1,1,False
Eskimo,1934 (7th),1,1,False
La Cucaracha,1934 (7th),1,1,False
Manhattan Melodrama,1934 (7th),1,1,False
The Merry Widow,1934 (7th),1,1,False
The Tortoise and the Hare,1934 (7th),1,1,False
The Affairs of Cellini,1934 (7th),0,4,False
The Thin Man,1934 (7th),0,4,False
Imitation of Life,1934 (7th),0,3,False
Flirtation Walk,1934 (7th),0,2,False
The Barretts of Wimpole Street,1934 (7th),0,2,False
The White Parade,1934 (7th),0,2,False
Bosom Friends,1934 (7th),0,1,False
Flying Down to Rio,1934 (7th),0,1,False
Here Comes the Navy,1934 (7th),0,1,False
Hide-Out,1934 (7th),0,1,False
Holiday Land,1934 (7th),0,1,False
Jolly Little Elves,1934 (7th),0,1,False
Men in Black,1934 (7th),0,1,False
Of Human Bondage,1934 (7th),0,1,False
Operator 13,1934 (7th),0,1,False
She Loves Me Not,1934 (7th),0,1,False
Strikes and Spares,1934 (7th),0,1,False
The House of Rothschild,1934 (7th),0,1,False
The Lost Patrol,1934 (7th),0,1,False
The Richest Girl in the World,1934 (7th),0,1,False
"What, No Men!",1934 (7th),0,1,False
Mutiny on the Bounty,1935 (8th),1,8,True
The Informer,1935 (8th),4,6,False
A Midsummer Night's Dream,1935 (8th),2,4,False
The Lives of a Bengal Lancer,1935 (8th),1,7,False
Broadway Melody of 1936,1935 (8th),1,3,False
The Dark Angel,1935 (8th),1,3,False
Gold Diggers of 1935,1935 (8th),1,2,False
Naughty Marietta,1935 (8th),1,2,False
Dangerous,1935 (8th),1,1,False
How to Sleep,1935 (8th),1,1,False
The Scoundrel,1935 (8th),1,1,False
Three Orphan Kittens,1935 (8th),1,1,False
Wings Over Everest,1935 (8th),1,1,False
Captain Blood,1935 (8th),0,5,False
Les Misérables,1935 (8th),0,4,False
Top Hat,1935 (8th),0,4,False
David Copperfield,1935 (8th),0,3,False
Alice Adams,1935 (8th),0,2,False
"$1,000 a Minute",1935 (8th),0,1,False
All the King's Horses,1935 (8th),0,1,False
Audioscopiks,1935 (8th),0,1,False
Barbary Coast,1935 (8th),0,1,False
Becky Sharp,1935 (8th),0,1,False
Black Fury,1935 (8th),0,1,False
Bride of Frankenstein,1935 (8th),0,1,False
Broadway Hostess,1935 (8th),0,1,False
Camera Thrills,1935 (8th),0,1,False
Escape Me Never,1935 (8th),0,1,False
Folies Bergère de Paris,1935 (8th),0,1,False
G Men,1935 (8th),0,1,False
Go into Your Dance,1935 (8th),0,1,False
I Dream Too Much,1935 (8th),0,1,False
King of Burlesque,1935 (8th),0,1,False
Love Me Forever,1935 (8th),0,1,False
"Oh, My Nerves",1935 (8th),0,1,False
Peter Ibbetson,1935 (8th),0,1,False
Private Worlds,1935 (8th),0,1,False
Roberta,1935 (8th),0,1,False
Ruggles of Red Gap,1935 (8th),0,1,False
She,1935 (8th),0,1,False
Thanks a Million,1935 (8th),0,1,False
The Big Broadcast of 1936,1935 (8th),0,1,False
The Calico Dragon,1935 (8th),0,1,False
The Crusades,1935 (8th),0,1,False
The Gay Deception,1935 (8th),0,1,False
Tit for Tat,1935 (8th),0,1,False
Who Killed Cock Robin?,1935 (8th),0,1,False
The Great Ziegfeld,1936 (9th),3,7,True
Anthony Adverse,1936 (9th),4,7,False
The Story of Louis Pasteur,1936 (9th),3,4,False
Dodsworth,1936 (9th),1,7,False
San Francisco,1936 (9th),1,6,False
Mr. Deeds Goes to Town,1936 (9th),1,5,False
The Charge of the Light Brigade,1936 (9th),1,3,False
Come and Get It,1936 (9th),1,2,False
Swing Time,1936 (9th),1,2,False
Bored of Education,1936 (9th),1,1,False
Give Me Liberty,1936 (9th),1,1,False
The Country Cousin,1936 (9th),1,1,False
The Public Pays,1936 (9th),1,1,False
My Man Godfrey,1936 (9th),0,6,False
Romeo and Juliet,1936 (9th),0,4,False
The General Died at Dawn,1936 (9th),0,3,False
Three Smart Girls,1936 (9th),0,3,False
A Tale of Two Cities,1936 (9th),0,2,False
Born to Dance,1936 (9th),0,2,False
Lloyd's of London,1936 (9th),0,2,False
The Garden of Allah,1936 (9th),0 (1),2,False
The Gorgeous Hussy,1936 (9th),0,2,False
Theodora Goes Wild,1936 (9th),0,2,False
Winterset,1936 (9th),0,2,False
After the Thin Man,1936 (9th),0,1,False
Banjo on My Knee,1936 (9th),0,1,False
Cain and Mabel,1936 (9th),0,1,False
Dancing Pirate,1936 (9th),0,1,False
Double or Nothing,1936 (9th),0,1,False
Dummy Ache,1936 (9th),0,1,False
Fury,1936 (9th),0,1,False
General Spanky,1936 (9th),0,1,False
Gold Diggers of 1937,1936 (9th),0,1,False
La Fiesta de Santa Barbara,1936 (9th),0,1,False
Libeled Lady,1936 (9th),0,1,False
The Magnificent Brute,1936 (9th),0,1,False
Moscow Moods,1936 (9th),0,1,False
One in a Million,1936 (9th),0,1,False
Pennies from Heaven,1936 (9th),0,1,False
Pigskin Parade,1936 (9th),0,1,False
Popeye the Sailor Meets Sinbad the Sailor,1936 (9th),0,1,False
Popular Science J-6-2,1936 (9th),0,1,False
"Sing, Baby, Sing",1936 (9th),0,1,False
Suzy,1936 (9th),0,1,False
That Girl from Paris,1936 (9th),0,1,False
The Last of the Mohicans,1936 (9th),0,1,False
The Old Mill Pond,1936 (9th),0,1,False
The Texas Rangers,1936 (9th),0,1,False
These Three,1936 (9th),0,1,False
The Trail of the Lonesome Pine,1936 (9th),0,1,False
Valiant Is the Word for Carrie,1936 (9th),0,1,False
Wanted – A Master,1936 (9th),0,1,False
The Life of Emile Zola,1937 (10th),3,10,True
Lost Horizon,1937 (10th),2,7,False
In Old Chicago,1937 (10th),2,6,False
The Good Earth,1937 (10th),2,5,False
A Star Is Born,1937 (10th),1 (1),7,False
The Awful Truth,1937 (10th),1,6,False
One Hundred Men and a Girl,1937 (10th),1,5,False
Captains Courageous,1937 (10th),1,4,False
The Hurricane,1937 (10th),1,3,False
A Damsel in Distress,1937 (10th),1,2,False
Waikiki Wedding,1937 (10th),1,2,False
Penny Wisdom,1937 (10th),1,1,False
The Old Mill,1937 (10th),1,1,False
The Private Life of the Gannets,1937 (10th),1,1,False
Torture Money,1937 (10th),1,1,False
Dead End,1937 (10th),0,4,False
Stage Door,1937 (10th),0,4,False
Souls at Sea,1937 (10th),0,3,False
Conquest,1937 (10th),0,2,False
Maytime,1937 (10th),0,2,False
Night Must Fall,1937 (10th),0,2,False
Stella Dallas,1937 (10th),0,2,False
The Prisoner of Zenda,1937 (10th),0,2,False
Topper,1937 (10th),0,2,False
Walter Wanger's Vogues of 1938,1937 (10th),0,2,False
A Day at the Races,1937 (10th),0,1,False
A Night at the Movies,1937 (10th),0,1,False
Ali Baba Goes to Town,1937 (10th),0,1,False
Artists and Models,1937 (10th),0,1,False
Black Legion,1937 (10th),0,1,False
Camille,1937 (10th),0,1,False
Deep South,1937 (10th),0,1,False
Educated Fish,1937 (10th),0,1,False
Every Day's a Holiday,1937 (10th),0,1,False
Hitting a New High,1937 (10th),0,1,False
Make a Wish,1937 (10th),0,1,False
Manhattan Merry-Go-Round,1937 (10th),0,1,False
Mr. Dodd Takes the Air,1937 (10th),0,1,False
Popular Science J-7-1,1937 (10th),0,1,False
Portia on Trial,1937 (10th),0,1,False
Quality Street,1937 (10th),0,1,False
"Ready, Willing and Able",1937 (10th),0,1,False
Romance of Radium,1937 (10th),0,1,False
Shall We Dance,1937 (10th),0,1,False
Should Wives Work?,1937 (10th),0,1,False
Snow White and the Seven Dwarfs,1937 (10th),0 (1),1,False
Something to Sing About,1937 (10th),0,1,False
The Girl Said No,1937 (10th),0,1,False
The Little Match Girl,1937 (10th),0,1,False
The Man Without a Country,1937 (10th),0,1,False
Thin Ice,1937 (10th),0,1,False
Varsity Show,1937 (10th),0,1,False
Way Out West,1937 (10th),0,1,False
Wee Willie Winkie,1937 (10th),0,1,False
Wells Fargo,1937 (10th),0,1,False
Wings over Honolulu,1937 (10th),0,1,False
You're a Sweetheart,1937 (10th),0,1,False
You Can't Take It with You,1938 (11th),2,7,True
The Adventures of Robin Hood,1938 (11th),3,4,False
Boys Town,1938 (11th),2,5,False
Jezebel,1938 (11th),2,5,False
Alexander's Ragtime Band,1938 (11th),1,6,False
Pygmalion,1938 (11th),1,4,False
The Cowboy and the Lady,1938 (11th),1,3,False
The Great Waltz,1938 (11th),1,3,False
Declaration of Independence,1938 (11th),1,1,False
Ferdinand the Bull,1938 (11th),1,1,False
Kentucky,1938 (11th),1,1,False
Spawn of the North,1938 (11th),0 (1),0,False
That Mothers Might Live,1938 (11th),1,1,False
The Big Broadcast of 1938,1938 (11th),1,1,False
Four Daughters,1938 (11th),0,5,False
Merrily We Live,1938 (11th),0,5,False
Algiers,1938 (11th),0,4,False
If I Were King,1938 (11th),0,4,False
Mad About Music,1938 (11th),0,4,False
Marie Antoinette,1938 (11th),0,4,False
The Citadel,1938 (11th),0,4,False
Angels with Dirty Faces,1938 (11th),0,3,False
Army Girl,1938 (11th),0,3,False
Carefree,1938 (11th),0,3,False
Suez,1938 (11th),0,3,False
Test Pilot,1938 (11th),0,3,False
Blockade,1938 (11th),0,2,False
Sweethearts,1938 (11th),0 (1),2,False
That Certain Age,1938 (11th),0,2,False
The Goldwyn Follies,1938 (11th),0,2,False
The Young in Heart,1938 (11th),0,2,False
Vivacious Lady,1938 (11th),0,2,False
Block-Heads,1938 (11th),0,1,False
Brave Little Tailor,1938 (11th),0,1,False
Breaking the Ice,1938 (11th),0,1,False
Girls' School,1938 (11th),0,1,False
Going Places,1938 (11th),0,1,False
Good Scouts,1938 (11th),0,1,False
La Grande Illusion,1938 (11th),0,1,False
Holiday,1938 (11th),0,1,False
Hunky and Spunky,1938 (11th),0,1,False
Mannequin,1938 (11th),0,1,False
Mother Goose Goes Hollywood,1938 (11th),0,1,False
Of Human Hearts,1938 (11th),0,1,False
Pacific Liner,1938 (11th),0,1,False
Storm Over Bengal,1938 (11th),0,1,False
Swingtime in the Movies,1938 (11th),0,1,False
The Adventures of Tom Sawyer,1938 (11th),0,1,False
The Buccaneer,1938 (11th),0,1,False
The Great Heart,1938 (11th),0,1,False
The Lady Objects,1938 (11th),0,1,False
There Goes My Heart,1938 (11th),0,1,False
They're Always Caught,1938 (11th),0,1,False
Three Comrades,1938 (11th),0,1,False
Timber Toppers,1938 (11th),0,1,False
Tropic Holiday,1938 (11th),0,1,False
Under Western Stars,1938 (11th),0,1,False
White Banners,1938 (11th),0,1,False
Gone With the Wind,1939 (12th),8 (1),13,True
Stagecoach,1939 (12th),2,7,False
The Wizard of Oz,1939 (12th),2,5,False
Mr. Smith Goes to Washington,1939 (12th),1,11,False
Wuthering Heights,1939 (12th),1,8,False
"Goodbye, Mr. Chips",1939 (12th),1,7,False
The Rains Came,1939 (12th),1,5,False
Busy Little Bears,1939 (12th),1,1,False
Sons of Liberty,1939 (12th),1,1,False
The Ugly Duckling,1939 (12th),1,1,False
When Tomorrow Comes,1939 (12th),1,1,False
Love Affair,1939 (12th),0,6,False
The Private Lives of Elizabeth and Essex,1939 (12th),0,5,False
Ninotchka,1939 (12th),0,4,False
Of Mice and Men,1939 (12th),0,4,False
Dark Victory,1939 (12th),0,3,False
Man of Conquest,1939 (12th),0,3,False
Babes in Arms,1939 (12th),0,2,False
Beau Geste,1939 (12th),0,2,False
First Love,1939 (12th),0,2,False
Gulliver's Travels,1939 (12th),0,2,False
The Great Victor Herbert,1939 (12th),0,2,False
The Hunchback of Notre Dame,1939 (12th),0,2,False
Bachelor Mother,1939 (12th),0,1,False
Balalaika,1939 (12th),0,1,False
Captain Fury,1939 (12th),0,1,False
Detouring America,1939 (12th),0,1,False
Drums Along the Mohawk,1939 (12th),0,1,False
Drunk Driving,1939 (12th),0,1,False
Eternally Yours,1939 (12th),0,1,False
Five Times Five,1939 (12th),0,1,False
Golden Boy,1939 (12th),0,1,False
Information Please,1939 (12th),0,1,False
Intermezzo,1939 (12th),0,1,False
Juarez,1939 (12th),0,1,False
Nurse Edith Cavell,1939 (12th),0,1,False
Only Angels Have Wings,1939 (12th),0,1,False
Peace on Earth,1939 (12th),0,1,False
Prophet Without Honor,1939 (12th),0,1,False
Second Fiddle,1939 (12th),0,1,False
She Married a Cop,1939 (12th),0,1,False
Swanee River,1939 (12th),0,1,False
Sword Fishing,1939 (12th),0,1,False
The Man in the Iron Mask,1939 (12th),0,1,False
The Pointer,1939 (12th),0,1,False
They Shall Have Music,1939 (12th),0,1,False
Topper Takes a Trip,1939 (12th),0,1,False
Union Pacific,1939 (12th),0,1,False
Way Down South,1939 (12th),0,1,False
Young Mr. Lincoln,1939 (12th),0,1,False
Rebecca,1940 (13th),2,11,True
The Thief of Bagdad,1940 (13th),3,4,False
The Grapes of Wrath,1940 (13th),2,7,False
The Philadelphia Story,1940 (13th),2,6,False
Pinocchio,1940 (13th),2,2,False
Kitty Foyle,1940 (13th),1,5,False
North West Mounted Police,1940 (13th),1,5,False
"Arise, My Love",1940 (13th),1,4,False
Strike Up the Band,1940 (13th),1,3,False
The Westerner,1940 (13th),1,3,False
Pride and Prejudice,1940 (13th),1,1,False
Quicker'n a Wink,1940 (13th),1,1,False
"Teddy, the Rough Rider",1940 (13th),1,1,False
The Great McGinty,1940 (13th),1,1,False
The Milky Way,1940 (13th),1,1,False
Tin Pan Alley,1940 (13th),1,1,False
The Letter,1940 (13th),0,7,False
Foreign Correspondent,1940 (13th),0,6,False
Our Town,1940 (13th),0,6,False
The Long Voyage Home,1940 (13th),0,6,False
The Great Dictator,1940 (13th),0,5,False
Spring Parade,1940 (13th),0,4,False
The Sea Hawk,1940 (13th),0,4,False
"All This, and Heaven Too",1940 (13th),0,3,False
Down Argentine Way,1940 (13th),0,3,False
My Favourite Wife,1940 (13th),0,3,False
Abe Lincoln in Illinois,1940 (13th),0,2,False
Arizona,1940 (13th),0,2,False
Bitter Sweet,1940 (13th),0,2,False
Boom Town,1940 (13th),0,2,False
Dark Command,1940 (13th),0,2,False
Hit Parade of 1941,1940 (13th),0,2,False
One Million B.C.,1940 (13th),0,2,False
Second Chorus,1940 (13th),0,2,False
The Blue Bird,1940 (13th),0,2,False
The Boys from Syracuse,1940 (13th),0,2,False
The Howards of Virginia,1940 (13th),0,2,False
Waterloo Bridge,1940 (13th),0,2,False
A Wild Hare,1940 (13th),0,1,False
Angels Over Broadway,1940 (13th),0,1,False
Behind the News,1940 (13th),0,1,False
Captain Caution,1940 (13th),0,1,False
Comrade X,1940 (13th),0,1,False
Dr. Cyclops,1940 (13th),0,1,False
Dr. Ehrlich's Magic Bullet,1940 (13th),0,1,False
"Edison, the Man",1940 (13th),0,1,False
Eyes of the Navy,1940 (13th),0,1,False
Irene,1940 (13th),0,1,False
Lillian Russell,1940 (13th),0,1,False
London Can Take It!,1940 (13th),0,1,False
More About Nostradamus,1940 (13th),0,1,False
Music in My Heart,1940 (13th),0,1,False
"My Son, My Son!",1940 (13th),0,1,False
Northwest Passage,1940 (13th),0,1,False
Primrose Path,1940 (13th),0,1,False
Puss Gets the Boot,1940 (13th),0,1,False
Rhythm on the River,1940 (13th),0,1,False
Service with the Colors,1940 (13th),0,1,False
Siege,1940 (13th),0,1,False
Swiss Family Robinson,1940 (13th),0,1,False
The Fight for Life,1940 (13th),0,1,False
The House of the Seven Gables,1940 (13th),0,1,False
The Invisible Man Returns,1940 (13th),0,1,False
The Mark of Zorro,1940 (13th),0,1,False
They Knew What They Wanted,1940 (13th),0,1,False
Too Many Husbands,1940 (13th),0,1,False
Typhoon,1940 (13th),0,1,False
Women in War,1940 (13th),0,1,False
You'll Find Out,1940 (13th),0,1,False
How Green Was My Valley,1941 (14th),5,10,True
Sergeant York,1941 (14th),2,11,False
Here Comes Mr. Jordan,1941 (14th),2,7,False
Citizen Kane,1941 (14th),1,9,False
Blossoms in the Dust,1941 (14th),1,4,False
That Hamilton Woman,1941 (14th),1,4,False
Suspicion,1941 (14th),1,3,False
All That Money Can Buy,1941 (14th),1,2,False
Blood and Sand,1941 (14th),1,2,False
Dumbo,1941 (14th),1,2,False
Churchill's Island,1941 (14th),1,1,False
I Wanted Wings,1941 (14th),1,1,False
Lady Be Good,1941 (14th),1,1,False
Lend a Paw,1941 (14th),1,1,False
Main Street on the March!,1941 (14th),1,1,False
Of Pups and Puzzles,1941 (14th),1,1,False
The Great Lie,1941 (14th),1,1,False
The Little Foxes,1941 (14th),0,9,False
Hold Back the Dawn,1941 (14th),0,6,False
Ball of Fire,1941 (14th),0,4,False
Dr. Jekyll and Mr. Hyde,1941 (14th),0,3,False
Sun Valley Serenade,1941 (14th),0,3,False
Sundown,1941 (14th),0,3,False
The Chocolate Soldier,1941 (14th),0,3,False
The Maltese Falcon,1941 (14th),0,3,False
All-American Co-Ed,1941 (14th),0,2,False
Aloma of the South Seas,1941 (14th),0,2,False
Buck Privates,1941 (14th),0,2,False
Dive Bomber,1941 (14th),0,2,False
Ladies in Retirement,1941 (14th),0,2,False
Louisiana Purchase,1941 (14th),0,2,False
The Devil and Miss Jones,1941 (14th),0,2,False
Topper Returns,1941 (14th),0,2,False
You'll Never Get Rich,1941 (14th),0,2,False
A Letter from Home,1941 (14th),0,1,False
A Place to Live,1941 (14th),0,1,False
A Yank in the R.A.F.,1941 (14th),0,1,False
Adventure in the Bronx,1941 (14th),0,1,False
Alive in the Deep,1941 (14th),0,1,False
Appointment for Love,1941 (14th),0,1,False
Army Champions,1941 (14th),0,1,False
Back Street,1941 (14th),0,1,False
Beauty and the Beach,1941 (14th),0,1,False
Billy the Kid,1941 (14th),0,1,False
Birth of the Blues,1941 (14th),0,1,False
Blues in the Night,1941 (14th),0,1,False
Bomber: A Defense Report on Film,1941 (14th),0,1,False
Boogie Woogie Bugle Boy of Company B,1941 (14th),0,1,False
Cheers for Miss Bishop,1941 (14th),0,1,False
Christmas Under Fire,1941 (14th),0,1,False
Down on the Farm,1941 (14th),0,1,False
Flight Command,1941 (14th),0,1,False
Forbidden Passage,1941 (14th),0,1,False
Forty Boys and a Song,1941 (14th),0,1,False
Hiawatha's Rabbit Hunt,1941 (14th),0,1,False
How War Came,1941 (14th),0,1,False
Ice-Capades,1941 (14th),0,1,False
King of the Zombies,1941 (14th),0,1,False
Kings of the Turf,1941 (14th),0,1,False
Las Vegas Nights,1941 (14th),0,1,False
Life of a Thoroughbred,1941 (14th),0,1,False
Lydia,1941 (14th),0,1,False
Meet John Doe,1941 (14th),0,1,False
Mercy Island,1941 (14th),0,1,False
Night Train to Munich,1941 (14th),0,1,False
Norway in Revolt,1941 (14th),0,1,False
One Foot in Heaven,1941 (14th),0,1,False
Penny Serenade,1941 (14th),0,1,False
Rhapsody in Rivets,1941 (14th),0,1,False
Rhythm in the Ranks,1941 (14th),0,1,False
Ridin' on a Rainbow,1941 (14th),0,1,False
Russian Soil,1941 (14th),0,1,False
Sagebrush and Silver,1941 (14th),0,1,False
Sis Hopkins,1941 (14th),0,1,False
Skylark,1941 (14th),0,1,False
So Ends Our Night,1941 (14th),0,1,False
Soldiers of the Sky,1941 (14th),0,1,False
Sunny,1941 (14th),0,1,False
Superman,1941 (14th),0,1,False
"Tall, Dark and Handsome",1941 (14th),0,1,False
Tanks a Million,1941 (14th),0,1,False
That Uncertain Feeling,1941 (14th),0,1,False
The Devil Pays Off,1941 (14th),0,1,False
The Flame of New Orleans,1941 (14th),0,1,False
The Gay Parisian,1941 (14th),0,1,False
The Invisible Woman,1941 (14th),0,1,False
The Lady Eve,1941 (14th),0,1,False
The Men in Her Life,1941 (14th),0,1,False
The Night Before Christmas,1941 (14th),0,1,False
The Rookie Bear,1941 (14th),0,1,False
The Sea Wolf,1941 (14th),0,1,False
The Son of Monte Cristo,1941 (14th),0,1,False
The Strawberry Blonde,1941 (14th),0,1,False
The Tanks Are Coming,1941 (14th),0,1,False
This Woman is Mine,1941 (14th),0,1,False
"Tom, Dick and Harry",1941 (14th),0,1,False
Truant Officer Donald,1941 (14th),0,1,False
War Clouds in the Pacific,1941 (14th),0,1,False
When Ladies Meet,1941 (14th),0,1,False
Fantasia,1941 (14th),0 (1),0,False
Kukan,1941 (14th),0 (1),0,False
Target for Tonight,1941 (14th),0 (1),0,False
Mrs. Miniver,1942 (15th),6,12,True
Yankee Doodle Dandy,1942 (15th),3,8,False
The Pride of the Yankees,1942 (15th),1,11,False
This Above All,1942 (15th),1,4,False
49th Parallel,1942 (15th),1,3,False
Holiday Inn,1942 (15th),1,3,False
"Now, Voyager",1942 (15th),1,3,False
Reap the Wild Wind,1942 (15th),1,3,False
The Black Swan,1942 (15th),1,3,False
My Gal Sal,1942 (15th),1,2,False
Woman of the Year,1942 (15th),1,2,False
Beyond the Line of Duty,1942 (15th),1,1,False
Der Fuehrer's Face,1942 (15th),1,1,False
Johnny Eager,1942 (15th),1,1,False
Kokoda Front Line!,1942 (15th),1,1,False
Moscow Strikes Back,1942 (15th),1,1,False
Prelude to War,1942 (15th),1,1,False
Speaking of Animals and Their Families,1942 (15th),1,1,False
